location_key,commune_code,commune_name,commune_name_en,latitude,longitude,climate_zone
27,00328,Phường Lĩnh Nam,Linh Nam,20.975557,105.8986487,Nhiệt đới gió mùa có mùa đông lạnh
28,00331,Phường Hoàng Mai,Hoang Mai,20.9740598,105.8619324,Nhiệt đới gió mùa có mùa đông lạnh
29,00337,Phường Hoàng Liệt,Hoang Liet,20.9619101,105.83654,Nhiệt đới gió mùa có mùa đông lạnh
30,00340,Phường Yên Sở,Yen So,20.9638518,105.8658241,Nhiệt đới gió mùa có mùa đông lạnh
31,00352,Phường Phương Liệt,Phuong Liet,20.9934972,105.8315495,Nhiệt đới gió mùa có mùa đông lạnh
32,00364,Phường Khương Đình,Khuong Dinh,20.9908045,105.8134369,Nhiệt đới gió mùa có mùa đông lạnh
33,00367,Phường Thanh Xuân,Thanh Xuan,20.9984954,105.8044453,Nhiệt đới gió mùa có mùa đông lạnh
34,00592,Phường Từ Liêm,Tu Liem,21.0216402,105.7671293,Nhiệt đới gió mùa có mùa đông lạnh
35,00598,Phường Thượng Cát,Thuong Cat,21.0870218,105.7488577,Nhiệt đới gió mùa có mùa đông lạnh
36,00602,Phường Đông Ngạc,Dong Ngac,21.0896952,105.7853269,Nhiệt đới gió mùa có mùa đông lạnh
37,00611,Phường Xuân Đỉnh,Xuan Dinh,21.0668425,105.7960227,Nhiệt đới gió mùa có mùa đông lạnh
38,00613,Phường Tây Tựu,Tay Tuu,21.0674851,105.7316058,Nhiệt đới gió mùa có mùa đông lạnh
39,00619,Phường Phú Diễn,Phu Dien,21.0482672,105.7635616,Nhiệt đới gió mùa có mùa đông lạnh
40,00622,Phường Xuân Phương,Xuan Phuong,21.0312368,105.7479104,Nhiệt đới gió mùa có mùa đông lạnh
41,00634,Phường Tây Mỗ,Tay Mo,21.0002596,105.7482306,Nhiệt đới gió mùa có mùa đông lạnh
42,00637,Phường Đại Mỗ,Dai Mo,20.9931168,105.7768258,Nhiệt đới gió mùa có mùa đông lạnh
43,00643,Phường Thanh Liệt,Thanh Liet,20.9704857,105.8023692,Nhiệt đới gió mùa có mùa đông lạnh
44,09552,Phường Kiến Hưng,Kien Hung,20.9509503,105.7853025,Nhiệt đới gió mùa có mùa đông lạnh
45,09556,Phường Hà Đông,Ha Dong,20.9744367,105.7788461,Nhiệt đới gió mùa có mùa đông lạnh
46,09562,Phường Yên Nghĩa,Yen Nghia,20.9499151,105.7372532,Nhiệt đới gió mùa có mùa đông lạnh
47,09568,Phường Phú Lương,Phu Luong,20.9384472,105.7718521,Nhiệt đới gió mùa có mùa đông lạnh
48,09574,Phường Sơn Tây,Son Tay,21.1427003,105.4869248,Nhiệt đới gió mùa có mùa đông lạnh
49,09604,Phường Tùng Thiện,Tung Thien,21.1224604,105.4586831,Nhiệt đới gió mùa có mùa đông lạnh
50,09886,Phường Dương Nội,Duong Noi,20.9795394,105.7503041,Nhiệt đới gió mùa có mùa đông lạnh
51,10015,Phường Chương Mỹ,Chuong My,20.9260756,105.702572,Nhiệt đới gió mùa có mùa đông lạnh
52,00376,Xã Sóc Sơn,Soc Son,21.2453317,105.849765,Nhiệt đới gió mùa có mùa đông lạnh
53,00382,Xã Kim Anh,Kim Anh,21.2954733,105.7737938,Nhiệt đới gió mùa có mùa đông lạnh
54,00385,Xã Trung Giã,Trung Gia,21.3314675,105.8324511,Nhiệt đới gió mùa có mùa đông lạnh
55,00430,Xã Đa Phúc,Da Phuc,21.247238,105.9129756,Nhiệt đới gió mùa có mùa đông lạnh
56,00433,Xã Nội Bài,Noi Bai,21.2359298,105.7734367,Nhiệt đới gió mùa có mùa đông lạnh
57,00454,Xã Đông Anh,Dong Anh,21.1104815,105.8757685,Nhiệt đới gió mùa có mùa đông lạnh
58,00466,Xã Phúc Thịnh,Phuc Thinh,21.1587267,105.8087258,Nhiệt đới gió mùa có mùa đông lạnh
59,00475,Xã Thư Lâm,Thu Lam,21.1625428,105.8844077,Nhiệt đới gió mùa có mùa đông lạnh
60,00493,Xã Thiên Lộc,Thien Loc,21.1258664,105.760677,Nhiệt đới gió mùa có mùa đông lạnh
61,00508,Xã Vĩnh Thanh,Vinh Thanh,21.1034963,105.8175451,Nhiệt đới gió mùa có mùa đông lạnh
62,00541,Xã Phù Đổng,Phu Dong,21.0790743,105.9324504,Nhiệt đới gió mùa có mùa đông lạnh
63,00562,Xã Thuận An,Thuan An,21.0328461,105.9821275,Nhiệt đới gió mùa có mùa đông lạnh
64,00565,Xã Gia Lâm,Gia Lam,21.002391,105.9515672,Nhiệt đới gió mùa có mùa đông lạnh
65,00577,Xã Bát Tràng,Bat Trang,20.9685527,105.9075268,Nhiệt đới gió mùa có mùa đông lạnh
66,00640,Xã Thanh Trì,Thanh Tri,20.9395485,105.8613378,Nhiệt đới gió mùa có mùa đông lạnh
67,00664,Xã Đại Thanh,Dai Thanh,20.9343343,105.8190047,Nhiệt đới gió mùa có mùa đông lạnh
68,00679,Xã Ngọc Hồi,Ngoc Hoi,20.9128431,105.8337875,Nhiệt đới gió mùa có mùa đông lạnh
69,00685,Xã Nam Phù,Nam Phu,20.9191327,105.8864588,Nhiệt đới gió mùa có mùa đông lạnh
70,04930,Xã Yên Xuân,Yen Xuan,20.9739465,105.4788546,Nhiệt đới gió mùa có mùa đông lạnh
71,08974,Xã Quang Minh,Quang Minh,21.1988786,105.7528702,Nhiệt đới gió mùa có mùa đông lạnh
72,08980,Xã Yên Lãng,Yen Lang,21.1709072,105.6641008,Nhiệt đới gió mùa có mùa đông lạnh
73,08995,Xã Tiến Thắng,Tien Thang,21.2077839,105.685239,Nhiệt đới gió mùa có mùa đông lạnh
74,09022,Xã Mê Linh,Me Linh,21.1472274,105.7346206,Nhiệt đới gió mùa có mùa đông lạnh
75,09616,Xã Đoài Phương,Doai Phuong,21.0639642,105.4949079,Nhiệt đới gió mùa có mùa đông lạnh
76,09619,Xã Quảng Oai,Quang Oai,21.1781628,105.4304611,Nhiệt đới gió mùa có mùa đông lạnh
77,09634,Xã Cổ Đô,Co Do,21.2843846,105.3739517,Nhiệt đới gió mùa có mùa đông lạnh
78,09661,Xã Minh Châu,Minh Chau,21.0021636,105.7490656,Nhiệt đới gió mùa có mùa đông lạnh
79,09664,Xã Vật Lại,Vat Lai,21.2114276,105.37951,Nhiệt đới gió mùa có mùa đông lạnh
80,09676,Xã Bất Bạt,Bat Bat,21.1613704,105.3313683,Nhiệt đới gió mùa có mùa đông lạnh
81,09694,Xã Suối Hai,Suoi Hai,21.1243133,105.376273,Nhiệt đới gió mùa có mùa đông lạnh
82,09700,Xã Ba Vì,Ba Vi,21.0728675,105.353468,Nhiệt đới gió mùa có mùa đông lạnh
83,09706,Xã Yên Bài,Yen Bai,21.0439319,105.4317144,Nhiệt đới gió mùa có mùa đông lạnh
84,09715,Xã Phúc Thọ,Phuc Tho,21.107502,105.5460615,Nhiệt đới gió mùa có mùa đông lạnh
85,09739,Xã Phúc Lộc,Phuc Loc,21.1493417,105.5720271,Nhiệt đới gió mùa có mùa đông lạnh
86,09772,Xã Hát Môn,Hat Mon,21.0888568,105.620029,Nhiệt đới gió mùa có mùa đông lạnh
87,09784,Xã Đan Phượng,Dan Phuong,21.0944654,105.6685506,Nhiệt đới gió mùa có mùa đông lạnh
88,09787,Xã Liên Minh,Lien Minh,21.1303488,105.6510505,Nhiệt đới gió mùa có mùa đông lạnh
89,09817,Xã Ô Diên,O Dien,21.1057078,105.7102051,Nhiệt đới gió mùa có mùa đông lạnh
90,09832,Xã Hoài Đức,Hoai Duc,21.0630487,105.7061118,Nhiệt đới gió mùa có mùa đông lạnh
91,09856,Xã Dương Hòa,Duong Hoa,21.0489321,105.6711972,Nhiệt đới gió mùa có mùa đông lạnh
92,09871,Xã Sơn Đồng,Son Dong,21.026965,105.7085827,Nhiệt đới gió mùa có mùa đông lạnh
93,09877,Xã An Khánh,An Khanh,20.9833286,105.7083908,Nhiệt đới gió mùa có mùa đông lạnh
94,09895,Xã Quốc Oai,Quoc Oai,21.0082475,105.6472365,Nhiệt đới gió mùa có mùa đông lạnh
95,09910,Xã Kiều Phú,Kieu Phu,20.9733027,105.6021605,Nhiệt đới gió mùa có mùa đông lạnh
96,09931,Xã Hưng Đạo,Hung Dao,20.9697279,105.6578173,Nhiệt đới gió mùa có mùa đông lạnh
97,09952,Xã Phú Cát,Phu Cat,20.9492243,105.5565077,Nhiệt đới gió mùa có mùa đông lạnh
98,09955,Xã Thạch Thất,Thach That,21.0666388,105.5617779,Nhiệt đới gió mùa có mùa đông lạnh
99,09982,Xã Hạ Bằng,Ha Bang,21.0161116,105.5711475,Nhiệt đới gió mùa có mùa đông lạnh
100,09988,Xã Hòa Lạc,Hoa Lac,21.0135176,105.5067601,Nhiệt đới gió mùa có mùa đông lạnh
101,10003,Xã Tây Phương,Tay Phuong,21.0403672,105.6115528,Nhiệt đới gió mùa có mùa đông lạnh
102,10030,Xã Phú Nghĩa,Phu Nghia,20.9182618,105.6394102,Nhiệt đới gió mùa có mùa đông lạnh
103,10045,Xã Xuân Mai,Xuan Mai,20.8612469,105.6024741,Nhiệt đới gió mùa có mùa đông lạnh
104,10072,Xã Quảng Bị,Quang Bi,20.8712133,105.6992986,Nhiệt đới gió mùa có mùa đông lạnh
105,10081,Xã Trần Phú,Tran Phu,20.8369999,105.6627406,Nhiệt đới gió mùa có mùa đông lạnh
106,10096,Xã Hòa Phú,Hoa Phu,20.8322158,105.7250837,Nhiệt đới gió mùa có mùa đông lạnh
107,10114,Xã Thanh Oai,Thanh Oai,20.8440838,105.7677486,Nhiệt đới gió mùa có mùa đông lạnh
108,10126,Xã Bình Minh,Binh Minh,20.9038999,105.7575205,Nhiệt đới gió mùa có mùa đông lạnh
109,10144,Xã Tam Hưng,Tam Hung,20.8786211,105.7934311,Nhiệt đới gió mùa có mùa đông lạnh
110,10180,Xã Dân Hòa,Dan Hoa,20.8105226,105.7945126,Nhiệt đới gió mùa có mùa đông lạnh
111,10183,Xã Thường Tín,Thuong Tin,21.0021636,105.7490656,Nhiệt đới gió mùa có mùa đông lạnh
112,10210,Xã Hồng Vân,Hong Van,20.8797354,105.8981732,Nhiệt đới gió mùa có mùa đông lạnh
113,10231,Xã Thượng Phúc,Thuong Phuc,20.8290987,105.8481119,Nhiệt đới gió mùa có mùa đông lạnh
114,10237,Xã Chương Dương,Chuong Duong,20.8353914,105.8982681,Nhiệt đới gió mùa có mùa đông lạnh
115,10273,Xã Phú Xuyên,Phu Xuyen,20.7633442,105.9226694,Nhiệt đới gió mùa có mùa đông lạnh
116,10279,Xã Phượng Dực,Phuong Duc,20.7718688,105.8420646,Nhiệt đới gió mùa có mùa đông lạnh
117,10330,Xã Chuyên Mỹ,Chuyen My,20.7154958,105.8812018,Nhiệt đới gió mùa có mùa đông lạnh
118,10342,Xã Đại Xuyên,Dai Xuyen,20.6971907,105.9533171,Nhiệt đới gió mùa có mùa đông lạnh
119,10354,Xã Vân Đình,Van Dinh,20.736198,105.7750362,Nhiệt đới gió mùa có mùa đông lạnh
120,10369,Xã Ứng Thiên,Ung Thien,20.7731976,105.7707792,Nhiệt đới gió mùa có mùa đông lạnh
121,10402,Xã Ứng Hòa,Ung Hoa,20.6924103,105.8404686,Nhiệt đới gió mùa có mùa đông lạnh
122,10417,Xã Hòa Xá,Hoa Xa,20.6673126,105.7997374,Nhiệt đới gió mùa có mùa đông lạnh
123,10441,Xã Mỹ Đức,My Duc,20.6539269,105.6973661,Nhiệt đới gió mùa có mùa đông lạnh
124,10459,Xã Phúc Sơn,Phuc Son,20.7811635,105.683833,Nhiệt đới gió mùa có mùa đông lạnh
125,10465,Xã Hồng Sơn,Hong Son,20.7158534,105.7140549,Nhiệt đới gió mùa có mùa đông lạnh
126,10489,Xã Hương Sơn,Huong Son,20.6199994,105.752416,Nhiệt đới gió mùa có mùa đông lạnh
