observation_id,location_name_raw,query_sent,latitude,longitude,ward_code,ward_name,geocode_source,geocode_match_type,geocode_verified,review_note
VNE_20251007_014,Phố Triều Khúc (đoạn ngõ 66 đến đình làng Triều Khúc),"Phố Triều Khúc, Hà Nội, Việt Nam",20.985850,105.798446,00643,Phường Thanh Liệt,nominatim,road_prefix,false,
VNE_20251007_015,Đường Hồ Mễ Trì (đoạn cách Lương Thế Vinh 100m),"Đường Hồ Mễ Trì, Hà Nội, Việt Nam",20.998242,105.788999,00637,Phường Đại Mỗ,nominatim,road_prefix,false,
VNE_20251007_016,Đường Lương Thế Vinh (đoạn SN 499),"Đường Lương Thế Vinh, Hà Nội, Việt Nam",20.994232,105.791116,00637,Phường Đại Mỗ,nominatim,road_prefix,false,
VNE_20251007_017,Đường Tây Mỗ (đoạn từ UBND phường Tây Mỗ-ngõ 127),"Đường Tây Mỗ, Hà Nội, Việt Nam",20.997991,105.751804,00634,Phường Tây Mỗ,nominatim,road_prefix,false,
VNE_20251007_018,Phố Miêu Nha (đoạn từ đường tàu - lối vào công nghệ cao),"Phố Miêu Nha, Hà Nội, Việt Nam",21.016824,105.744823,00622,Phường Xuân Phương,nominatim,road_prefix,false,
VNE_20251007_019,Phố Do Nha (đoạn cổng chào),"Phố Do Nha, Hà Nội, Việt Nam",21.017030,105.740592,00622,Phường Xuân Phương,nominatim,road_prefix,false,
VNE_20251007_020,Phố Miêu Nha (đoạn hai bên đầu cầu Ngà),"Phố Miêu Nha, Hà Nội, Việt Nam",21.016824,105.744823,00622,Phường Xuân Phương,nominatim,road_prefix,false,
VNE_20251007_021,Đường Xuân Phương (đoạn ngõ 339),"Đường Xuân Phương, Hà Nội, Việt Nam",21.031520,105.739262,00622,Phường Xuân Phương,nominatim,road_prefix,false,
VNE_20251007_022,Đường Nguyễn Xuân Khoát,"Đường Nguyễn Xuân Khoát, Hà Nội, Việt Nam",21.065466,105.791337,00611,Phường Xuân Đỉnh,nominatim,full_name,false,
VNE_20251007_023,Đường Trịnh Văn Bô kéo dài,"Đường Trịnh Văn Bô kéo dài, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_024,Đường Tây Tựu (giao phố Đăm),"Đường Tây Tựu, Hà Nội, Việt Nam",21.082724,105.733564,00598,Phường Thượng Cát,nominatim,road_prefix,false,
VNE_20251007_025,Đường Phạm Hùng (đoạn giao Dương Đình Nghệ),"Đường Phạm Hùng, Hà Nội, Việt Nam",21.010117,105.788088,00592,Phường Từ Liêm,nominatim,road_prefix,false,
VNE_20251007_026,Đường Cầu Diễn (đoạn giao Trịnh Văn Bô),"Đường Cầu Diễn, Hà Nội, Việt Nam",21.043589,105.756486,00619,Phường Phú Diễn,nominatim,road_prefix,false,
VNE_20251007_027,Phố Thanh Lâm,"Phố Thanh Lâm, Hà Nội, Việt Nam",21.009802,105.931759,00565,Xã Gia Lâm,nominatim,full_name,false,
VNE_20251007_028,Phố Ngọa Long (đoạn giao Cầu Diễn),"Phố Ngọa Long, Hà Nội, Việt Nam",21.051115,105.745453,00613,Phường Tây Tựu,nominatim,road_prefix,false,
VNE_20251007_029,Đường Phương Canh (đoạn giao Hòe Thị),"Đường Phương Canh, Hà Nội, Việt Nam",21.036334,105.754776,00622,Phường Xuân Phương,nominatim,road_prefix,false,
VNE_20251007_030,Đường Văn Tiến Dũng (đoạn giao Cầu Diễn),"Đường Văn Tiến Dũng, Hà Nội, Việt Nam",21.066722,105.753504,00613,Phường Tây Tựu,nominatim,road_prefix,false,
VNE_20251007_031,Đường Hồ Tùng Mậu (đoạn giao nút Mai Dịch),"Đường Hồ Tùng Mậu, Hà Nội, Việt Nam",21.041067,105.763415,00619,Phường Phú Diễn,nominatim,road_prefix,false,
VNE_20251007_032,Phố Doãn Kế Thiện (giao Thần Vỹ),"Phố Doãn Kế Thiện, Hà Nội, Việt Nam",21.042369,105.774325,00619,Phường Phú Diễn,nominatim,road_prefix,false,
VNE_20251007_033,Phố Kẻ Giàn (đoạn giao Phạm Văn Đồng),"Phố Kẻ Giàn, Hà Nội, Việt Nam",21.081000,105.786681,00602,Phường Đông Ngạc,nominatim,road_prefix,false,
VNE_20251007_034,Phố Phan Tây Nhạc (đoạn từ trường FPT),"Phố Phan Tây Nhạc, Hà Nội, Việt Nam",21.038078,105.745561,00622,Phường Xuân Phương,nominatim,road_prefix,false,
VNE_20251007_035,Đường Lê Đức Thọ (đoạn SVĐ Mỹ Đình),"Đường Lê Đức Thọ, Hà Nội, Việt Nam",21.035876,105.770656,00592,Phường Từ Liêm,nominatim,road_prefix,false,
VNE_20251007_036,Đường Châu Văn Liêm (đoạn giao ĐL Thăng Long),"Đường Châu Văn Liêm, Hà Nội, Việt Nam",21.007346,105.768040,00592,Phường Từ Liêm,nominatim,road_prefix,false,
VNE_20251007_037,Phố Nhật Tảo (đoạn ngõ 1-39),"Phố Nhật Tảo, Hà Nội, Việt Nam",21.088635,105.791892,00091,Phường Phú Thượng,nominatim,road_prefix,false,
VNE_20251007_038,Phố Trần Vỹ (đoạn giao Doãn Kế Thiện),"Phố Trần Vỹ, Hà Nội, Việt Nam",21.040477,105.772939,00619,Phường Phú Diễn,nominatim,road_prefix,false,
VNE_20251007_039,Đường Trần Hữu Dực (giao đỗ Xuân Hợp),"Đường Trần Hữu Dực, Hà Nội, Việt Nam",21.030034,105.761536,00592,Phường Từ Liêm,nominatim,road_prefix,false,
VNE_20251007_040,Phố Nguyễn Hoàng (đoạn giao Phạm Hùng),"Phố Nguyễn Hoàng, Hà Nội, Việt Nam",21.033300,105.770032,00592,Phường Từ Liêm,nominatim,road_prefix,false,
VNE_20251007_041,Đường QL2 (Km3+300-Km3+550),"Đường Quốc lộ 2, Hà Nội, Việt Nam",21.198242,105.825189,00433,Xã Nội Bài,nominatim,road_prefix,false,
VNE_20251007_042,Đường 23b (Km0+750-Km1+00),"Đường 23b, Hà Nội, Việt Nam",21.151738,105.832432,00466,Xã Phúc Thịnh,nominatim,road_prefix,false,
VNE_20251007_043,Đường Cầu Bươu (đoạn ngã ba Xa La-Viện K),"Đường Cầu Bươu, Hà Nội, Việt Nam",20.960930,105.800697,00643,Phường Thanh Liệt,nominatim,road_prefix,false,
VNE_20251007_044,Đường Phạm Tu (đoạn viện K),"Đường Phạm Tu, Hà Nội, Việt Nam",20.975155,105.809788,00316,Phường Định Công,nominatim,road_prefix,false,
VNE_20251007_045,Phố Cầu Cốc (đoạn ngõ 43-67),"Phố Cầu Cốc, Hà Nội, Việt Nam",21.005915,105.746432,00634,Phường Tây Mỗ,nominatim,road_prefix,false,
VNE_20251007_046,Đường Nguyễn Huy Tưởng (đoạn giao Khuất Duy Tiến),"Đường Nguyễn Huy Tưởng (đoạn giao Khuất Duy Tiến), Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_047,Đường Đại Mỗ (đoạn ngõ 24),"Đường Đại Mỗ, Hà Nội, Việt Nam",20.995463,105.756676,00634,Phường Tây Mỗ,nominatim,road_prefix,false,
VNE_20251007_048,Phố Ngọc Trục (đoạn ngõ 31-giao Đại Mỗ),"Phố Ngọc Trục, Hà Nội, Việt Nam",20.989713,105.773154,00637,Phường Đại Mỗ,nominatim,road_prefix,false,
VNE_20251007_049,Đường Lạc Long Quân (đoạn SN 130-giao Võng Thị),"Đường Lạc Long Quân, Hà Nội, Việt Nam",21.073324,105.812712,00103,Phường Tây Hồ,nominatim,road_prefix,false,
VNE_20251007_050,Đường Nguyễn Trãi (đoạn đại học KHXH&NV),"Đường Nguyễn Trãi, Hà Nội, Việt Nam",20.986618,105.796118,00637,Phường Đại Mỗ,nominatim,road_prefix,false,
VNE_20251007_051,Đường Thụy Khuê (đoạn dốc La Pho đến trường THPT Chu Văn An),"Đường Thụy Khuê, Hà Nội, Việt Nam",21.041857,105.829818,00103,Phường Tây Hồ,nominatim,road_prefix,false,
VNE_20251007_052,Đường Khuất Duy Tiến (đoạn từ giao Tố Hữu-Nguyễn Trãi),"Đường Khuất Duy Tiến, Hà Nội, Việt Nam",21.001546,105.794981,00637,Phường Đại Mỗ,nominatim,road_prefix,false,
VNE_20251007_053,Đường Nguyễn Xiển,"Đường Nguyễn Xiển, Hà Nội, Việt Nam",20.982928,105.809342,00643,Phường Thanh Liệt,nominatim,full_name,false,
VNE_20251007_054,Đường Tố Hữu (ngõ 19-Lương Thế Vinh),"Đường Tố Hữu, Hà Nội, Việt Nam",20.989473,105.783629,00637,Phường Đại Mỗ,nominatim,road_prefix,false,
VNE_20251007_055,Đường Cổ Nhuế (đoạn SN145-205),"Đường Cổ Nhuế, Hà Nội, Việt Nam",21.060625,105.781757,00602,Phường Đông Ngạc,nominatim,road_prefix,false,
VNE_20251007_056,Đường QL3 (đoạn Km19+500),"Đường Quốc lộ 3, Hà Nội, Việt Nam",21.056505,105.888742,00127,Phường Việt Hưng,nominatim,road_prefix,false,
VNE_20251007_057,Đường Phùng Hưng (đoạn SN20-193),"Đường Phùng Hưng, Hà Nội, Việt Nam",20.971703,105.783163,09556,Phường Hà Đông,nominatim,road_prefix,false,
VNE_20251007_058,Đường Tây Thăng Long (đoạn chợ Phúc Lý),"Đường Tây Thăng Long, Hà Nội, Việt Nam",21.064909,105.761033,00602,Phường Đông Ngạc,nominatim,road_prefix,false,
VNE_20251007_059,Đường Nguyễn Tuân (đoạn giao Lê Văn Lương-Ngụy Như Kon Tum),"Đường Nguyễn Tuân, Hà Nội, Việt Nam",21.001970,105.800566,00367,Phường Thanh Xuân,nominatim,road_prefix,false,
VNE_20251007_060,Phố Trung Kiên (đoạn Đình Đăm),"Phố Trung Kiên, Hà Nội, Việt Nam",21.069647,105.730902,00613,Phường Tây Tựu,nominatim,road_prefix,false,
VNE_20251007_061,Đường Xuân La (đoạn Võ Chí Công-Xuân Đỉnh),"Đường Xuân La, Hà Nội, Việt Nam",21.062693,105.807540,00103,Phường Tây Hồ,nominatim,road_prefix,false,
VNE_20251007_062,Phố Phan Văn Trường (đoạn SN103-ngõ 54),"Phố Phan Văn Trường, Hà Nội, Việt Nam",21.037910,105.785989,00166,Phường Cầu Giấy,nominatim,road_prefix,false,
VNE_20251007_063,Gầm cầu Thăng Long đi Vực Dê,"Gầm cầu Thăng Long đi Vực Dê, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_064,Đường Mễ Trì (đoạn giao Phạm Hùng),"Đường Mễ Trì, Hà Nội, Việt Nam",21.012650,105.775361,00592,Phường Từ Liêm,nominatim,road_prefix,false,
VNE_20251007_065,Đường Mê Linh: Km6+200 - Km7+00,"Đường Mê Linh, Hà Nội, Việt Nam",21.169328,105.774031,00466,Xã Phúc Thịnh,nominatim,road_prefix,false,
VNE_20251007_066,Đường Mê Linh: Km4+600 - Km4+800,"Đường Mê Linh, Hà Nội, Việt Nam",21.169328,105.774031,00466,Xã Phúc Thịnh,nominatim,road_prefix,false,
VNE_20251007_067,Đường Mê Linh: Km5+670 - Km5+850,"Đường Mê Linh, Hà Nội, Việt Nam",21.169328,105.774031,00466,Xã Phúc Thịnh,nominatim,road_prefix,false,
VNE_20251007_068,Phố Trương Công Giai (đoạn giao phố Thành Thái),"Phố Trương Công Giai, Hà Nội, Việt Nam",21.027663,105.788712,00166,Phường Cầu Giấy,nominatim,road_prefix,false,
VNE_20251007_069,Đường Duy Tân (Giao Phạm Hùng),"Đường Duy Tân, Hà Nội, Việt Nam",20.666044,105.947778,10342,Xã Đại Xuyên,nominatim,road_prefix,false,
VNE_20251007_070,Đường Tôn Thất Thuyết (phía giao đường Phạm Hùng),"Đường Tôn Thất Thuyết, Hà Nội, Việt Nam",21.028863,105.779271,00592,Phường Từ Liêm,nominatim,road_prefix,false,
VNE_20251007_071,Phố Phạm Văn Bạch (đoạn trước Viện huyết học),"Phố Phạm Văn Bạch, Hà Nội, Việt Nam",21.023399,105.789885,00166,Phường Cầu Giấy,nominatim,road_prefix,false,
VNE_20251007_072,Phố Dương Đình Nghệ (đoạn từ Nguyễn Xuân Nham đến Phạm Hùng),"Phố Dương Đình Nghệ, Hà Nội, Việt Nam",21.023112,105.789821,00166,Phường Cầu Giấy,nominatim,road_prefix,false,
VNE_20251007_073,Tuyến 14 giao phố Đinh Núp,"Tuyến 14 giao phố Đinh Núp, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_074,Tuyến 16 đến phố Đinh Núp,"Tuyến 16 đến phố Đinh Núp, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_075,Phố Nguyễn Quốc Trị (đoạn từ Nguyễn Chánh đi vào),"Phố Nguyễn Quốc Trị, Hà Nội, Việt Nam",21.018563,105.784653,00175,Phường Yên Hoà,nominatim,road_prefix,false,
VNE_20251007_076,Đường Ngô Thì Nhậm,"Đường Ngô Thì Nhậm, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_077,QL 21B Từ Km6+00-Km7+800,"Quốc lộ 21B Từ, Hà Nội, Việt Nam",20.814062,105.883453,10237,Xã Chương Dương,nominatim,road_prefix,false,
VNE_20251007_078,Đường Phan Đình Giót,"Đường Phan Đình Giót, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_079,Đường QL1 Km195+700-Km195+750,"Đường Quốc lộ 1, Hà Nội, Việt Nam",20.736475,105.912866,10273,Xã Phú Xuyên,nominatim,road_prefix,false,
VNE_20251007_080,Đường QL6 Km27+300(T+P),"Đường Quốc lộ 6, Hà Nội, Việt Nam",21.037605,105.860377,00097,Phường Hồng Hà,nominatim,road_prefix,false,
VNE_20251007_081,Phố Hà Trì,"Phố Hà Trì, Hà Nội, Việt Nam",20.960744,105.773256,09552,Phường Kiến Hưng,nominatim,full_name,false,
VNE_20251007_082,Ngã 5 hạ trì giao với Lê Lợi - Bà Triệu kéo dài đường Hà Trì,"Ngã 5 hạ trì giao với Lê Lợi - Bà Triệu kéo dài đường Hà Trì, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_083,Đường Nguyễn Thanh Bình từ ngã tư Vạn Phúc (Km3+600) đến Km4+00,"Đường Nguyễn Thanh Bình từ ngã tư Vạn Phúc (Km3+600) đến Km4+00, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_084,Phố Phúc La từ Km1+00-Km1+200,"Phố Phúc La từ, Hà Nội, Việt Nam",20.960904,105.792741,09556,Phường Hà Đông,nominatim,road_prefix,false,
VNE_20251007_085,Đường Lê Hồng Phong từ trường trung học Lê Hồng Phong đến cổng công an phường dài 200m,"Đường Lê Hồng Phong từ trường trung học Lê Hồng Phong đến cổng công an phường dài 200m, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_086,Đường Văn Khê nước ngập từ Km3+00- Km4+00,"Đường Văn Khê nước ngập từ Km3+00- Km4+00, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_087,"Các tuyến Trần Hưng Đạo, Trưng Nhị Nguyễn Thị Minh Khai, Hoàng Văn Thụ Trưng Trắc","Các tuyến Trần Hưng Đạo, Trưng Nhị Nguyễn Thị Minh Khai, Hoàng Văn Thụ Trưng Trắc, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_088,Các tuyến đường Khu đô thị Văn Phú,"Các tuyến đường Khu đô thị Văn Phú, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_089,"Ngã 4 đảo giao thông Lê trọng Tấn, Nguyễn Thanh Bình - Nguyễn Trác - Dương Nội","Ngã 4 đảo giao thông Lê trọng Tấn, Nguyễn Thanh Bình - Nguyễn Trác - Dương Nội, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_090,Phố Nhuệ Giang (đoạn cuối tuyến),"Phố Nhuệ Giang, Hà Nội, Việt Nam",20.972113,105.780811,09556,Phường Hà Đông,nominatim,road_prefix,false,
VNE_20251007_091,Đường Nguyễn khuyến đoạn cuối tuyến giao với Yên Phúc Bạch - Thái Bưởi - Nguyễn Xuân Hà,"Đường Nguyễn khuyến, Hà Nội, Việt Nam",20.978340,105.788458,09556,Phường Hà Đông,nominatim,road_prefix,false,
VNE_20251007_092,Phố Hoàng Đôn Hoà,"Phố Hoàng Đôn Hoà, Hà Nội, Việt Nam",20.959474,105.772205,09552,Phường Kiến Hưng,nominatim,full_name,false,
VNE_20251007_093,Cổ Linh- Cầu Vĩnh Tuy,"Cổ Linh- Cầu Vĩnh Tuy, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_094,Hầm chui Ram AB nút Pháp Vân  đường Vành đai 3,"Hầm chui Ram AB nút Pháp Vân  đường Vành đai 3, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_095,Tuyến Thiên Đức đoạn gầm cầu đường sắt,"Tuyến Thiên Đức đoạn gầm cầu đường sắt, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_096,Đường 421B: Km11+300: Cầu Đông Yên,"Đường 421B, Hà Nội, Việt Nam",20.930398,105.598608,09952,Xã Phú Cát,nominatim,road_prefix,false,
VNE_20251007_097,Đường: 423:Cầu 72 II Km8+400,"Đường, Hà Nội, Việt Nam",21.036209,105.771183,00592,Phường Từ Liêm,nominatim,road_prefix,false,
VNE_20251007_098,Đường Tây Mỗ,"Đường Tây Mỗ, Hà Nội, Việt Nam",20.997991,105.751804,00634,Phường Tây Mỗ,nominatim,full_name,false,
VNE_20251007_099,Phố Trần Thái Tông (đoạn trước SN 96),"Phố Trần Thái Tông, Hà Nội, Việt Nam",21.028865,105.787794,00166,Phường Cầu Giấy,nominatim,road_prefix,false,
VNE_20251007_100,Ngọc Khánh,"Ngọc Khánh, Hà Nội, Việt Nam",21.029505,105.812669,00025,Phường Giảng Võ,nominatim,full_name,false,
VNE_20251007_101,Võ Chí Công  (đoạn tòa LOTTE),"Võ Chí Công, Hà Nội, Việt Nam",21.064377,105.805687,00103,Phường Tây Hồ,nominatim,road_prefix,false,
VNE_20251007_102,Nguyễn Sơn,"Nguyễn Sơn, Hà Nội, Việt Nam",21.045435,105.881082,00118,Phường Bồ Đề,nominatim,full_name,false,
VNE_20251007_103,Ngọc Lâm,"Ngọc Lâm, Hà Nội, Việt Nam",21.046823,105.879532,00118,Phường Bồ Đề,nominatim,full_name,false,
VNE_20251007_104,Lệ Mật,"Lệ Mật, Hà Nội, Việt Nam",21.053625,105.902927,00127,Phường Việt Hưng,nominatim,full_name,false,
VNE_20251007_105,Hoa Lâm,"Hoa Lâm, Hà Nội, Việt Nam",21.048741,105.876927,00118,Phường Bồ Đề,nominatim,full_name,false,
VNE_20251007_106,Nút Liễu Giai /Đào Tấn,"Nút Liễu Giai /Đào Tấn, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_107,Cổ Linh ( đoạn trường học),"Cổ Linh, Hà Nội, Việt Nam",21.008230,105.914857,00577,Xã Bát Tràng,nominatim,road_prefix,false,
VNE_20251007_108,Ngọc Thụy ( đoạn gầm cầu đường sắt LB),"Ngọc Thụy, Hà Nội, Việt Nam",21.044348,105.865567,00118,Phường Bồ Đề,nominatim,road_prefix,false,
VNE_20251007_109,Phố Ngọc Lâm,"Phố Ngọc Lâm, Hà Nội, Việt Nam",21.045724,105.881440,00118,Phường Bồ Đề,nominatim,full_name,false,
VNE_20251007_110,Đường Quyết Thắng ( CCN Yên Nghĩa),"Đường Quyết Thắng, Hà Nội, Việt Nam",20.956070,105.742659,09562,Phường Yên Nghĩa,nominatim,road_prefix,false,
VNE_20251007_111,Đường Nguyễn Trác từ Km7+300 đến Km 7+800,"Đường Nguyễn Trác từ Km7+300 đến Km 7+800, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_112,Đường Thanh Bình,"Đường Thanh Bình, Hà Nội, Việt Nam",20.986578,105.780078,09556,Phường Hà Đông,nominatim,full_name,false,
VNE_20251007_113,Đường Quang Trung Km12+700-KM12+900,"Đường Quang Trung, Hà Nội, Việt Nam",20.939807,105.733271,09562,Phường Yên Nghĩa,nominatim,road_prefix,false,
VNE_20251007_114,Đường Quốc lộ 6 Km15+300,"Đường Quốc lộ 6, Hà Nội, Việt Nam",21.037605,105.860377,00097,Phường Hồng Hà,nominatim,road_prefix,false,
VNE_20251007_115,Đường Quốc Nông Quốc Chấn,"Đường Quốc Nông Quốc Chấn, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_116,Đường Lê Lai,"Đường Lê Lai, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_117,Phố Hạnh Hoa và  phố Xa La,"Phố Hạnh Hoa và  phố Xa La, Hà Nội, Việt Nam",20.963082,105.791753,09556,Phường Hà Đông,nominatim,full_name,false,
VNE_20251007_118,Bà Triệu kéo dài,"Bà Triệu kéo dài, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_119,Đường Tô hiệu từ ngã ba Cầu Đơ cho đến ngã tư Bà Triệu,"Đường Tô hiệu từ ngã ba Cầu Đơ cho đến ngã tư Bà Triệu, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_120,Đường Lê Lợi từ ngã tư Tô Hiệu đến ngã tư Hoàng Hoa Thám,"Đường Lê Lợi từ ngã tư Tô Hiệu đến ngã tư Hoàng Hoa Thám, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_121,Phố Cửa Quán và Tuyến N41 N42 N42,"Phố Cửa Quán và Tuyến N41 N42 N42, Hà Nội, Việt Nam",,,,,,no_match,false,
VNE_20251007_122,Phố Đội Cấn,"Phố Đội Cấn, Hà Nội, Việt Nam",21.036364,105.816385,00008,Phường Ngọc Hà,nominatim,full_name,false,
VNE_20251007_123,Khuất Duy Tiến - Trần Duy Hưng,"Khuất Duy Tiến - Trần Duy Hưng, Hà Nội, Việt Nam",,,,,,no_match,false,
